Paper Title,Author,Journal/Conference,Publish Date,Citation Count,Selection Rationale,Keywords,Abstract,Paper URL
Video‐Based Micro‐Vibration Measurement for Hydraulic Structures in Field Environments Using Phase‐Based Motion Extraction,"Yan Zhang, Songhui Li, Yanbing Zhao, Xunnan Liu",Earthquake Engineering and Resilience,2025-09-01,0,"블록 C: 수리구조물 대상 야외 배치 phase-based 비디오 방법. 조명 변화·촬영 각도·스케일 변화에 대한 강건성 평가.센서 데이터와 상관계수 0.96, 0-20Hz에서 특히 강건.균일조명 필수, 직각 촬영 중요.",field robustness/illumination variation/shooting angle/phase-based,"ABSTRACT Hydraulic structures subjected to prolonged operational conditions inevitably experience damage and potential structural resonance, which threaten their stability and safety. Structural health monitoring (SHM) is a well‐established approach to ensuring safety; however, conventional methods primarily rely on contact sensors, which are inadequate for comprehensive monitoring of large and complex structures. Video‐based noncontact monitoring techniques effectively address this limitation. This study proposes a field‐deployable, phase‐based video method to measure micro‐vibrations of large hydraulic structures. Rather than batch processing full frames, vibration time histories are extracted from user‐defined pixels or pixel groups, enabling efficient region of interest (ROI)—level analysis with synchronized high‐speed videos. We then assess the method's robustness under varied illumination conditions, shooting angles, and scales, and visualize micro‐motions using frequency‐selective motion magnification. On an aging aqueduct, video‐derived responses show strong agreement with those obtained via displacement sensors; the correlation coefficient with sensor data reaches up to 0.96, accurately capturing the spectral peak bands within the 0−100 Hz and demonstrating exceptional robustness in the 0−20 Hz. Based on the discussion of practical limits, we provide guidelines for low‐texture, large‐scene monitoring. Adequate and uniform illumination is essential, and local fine‐scale features can significantly improve accuracy. The correlation coefficient can be increased by 0.1–0.3. Perpendicularity between the shooting angle and the target vibration direction is critical for obtaining high‐precision data.",https://onlinelibrary.wiley.com/doi/10.1002/eer2.70020
Deep learning-based motion magnification and frames matching for structural displacement measurement using computer vision,"Chiyuan Lin, Jun Li, Hong Hao",Engineering Structures,2025-11-03,2,블록 C: 딥러닝 기반 모션 확대(EulerMormer)+Phase-ECC 하이브리드 프레임 매칭. 정상+저조도 조건에서 서브픽셀 변위 측정.기존 대비 저조도 성능 우수.,deep learning motion magnification/low-light/sub-pixel displacement,"Compared with traditional contact and non-contact sensors used for acquiring vibration displacement responses, fixed cameras with the assistance of computer vision (CV) technology, offer lower costs and a greater flexibility in structural health monitoring (SHM). However, capturing subtle structural vibrations remains challenging due to low motion visibility and visual degradation caused by low illumination, weak textures, and image noise. To overcome this challenge, this paper proposes a vision-based structural displacement monitoring approach comprising three main steps, namely, camera calibration, subtle motion magnification, and frames matching for estimating displacement. The state-of-the-art deep learning-based motion magnification method (EulerMormer) is employed to improve the visibility of these subtle vibrations and exhibit fewer artifacts and distortions without prior knowledge of the target structure. A hybrid frames matching method termed Phase-ECC is designed, integrating phase correlation and enhanced correlation coefficient (ECC) to robustly estimate sub-pixel inter-frame translations across a wide range of vibration magnitudes. The proposed approach is validated through a rigid beam under controlled excitations, a cantilever beam excited by a shaker, and a vehicle-bridge interaction scenario under both normal and low-light conditions. The results demonstrate that the applied EulerMormer offers a significant advancement in minimizing distortion and artifacts, especially under large amplification factors or large-magnitude vibrations compared to other existing methods. The proposed approach accurately measures micro structural displacements, outperforming traditional vision-based techniques in terms of tracking accuracy, noise robustness, and low-light performance. • This paper proposes a novel structural displacement measurement approach for SHM. • The proposed approach is built on deep learning-based motion magnification. • Motion magnification and frames matching are used to process vision videos. • The effectiveness and accuracy of the proposed approach are demonstrated. • The proposed approach is verified with experimental studies and modal identification.",https://linkinghub.elsevier.com/retrieve/pii/S0141029625020383
Vision-Based Displacement Measurement for Structural Health Monitoring: A Metrology-Oriented Review of Uncertainty Quantification,"Arman Neyestani, Francesco Picariello, Ioan Tudosa, Michela Monaco, Luca De Vito, Mauro D’Arco",Buildings,2026-07-04,0,블록 C 서베이: 비전기반 변위측정 불확도 정량화(UQ) 메트롤로지 리뷰. 조명·카메라 흔들림·광학난류·플랫폼 운동 등 불확도 소스 체계적 정리.야외/이동카메라 벤치마크 표준화 방향 제시.,uncertainty quantification/camera shake/illumination/metrology review,"This paper presents a metrology-oriented review of vision-based displacement and deformation measurement for civil structural health monitoring (SHM), with an emphasis on field robustness and uncertainty quantification (UQ). The review focuses on image- and video-based methods that convert visual information into quantitative physical measurements, such as displacement, strain, or derived dynamic indicators. The literature is organized according to the main stages of the measurement chain: image formation, image-plane motion estimation, and geometric conversion to metric motion. Within this framework, measurement pipelines are interpreted through three levels of geometric mapping, namely, a scalar scale-factor model, a planar homography-based model, and a full Jacobian-based model. The review synthesizes major method families, including marker-based and markerless tracking, feature-based tracking, optical flow, digital image correlation (DIC), phase-based motion magnification, edge-based estimators, fixed- and moving-camera configurations, UAV-based acquisition with ego-motion compensation, hybrid vision–sensor fusion, and deep-learning-enhanced pipelines. A structured taxonomy of uncertainty sources is then presented along the processing chain, covering camera geometry and calibration, imaging noise and blur, quantization, timing and synchronization, environmental disturbances, optical turbulence and heat haze, platform motion, algorithmic failure modes, and reference-sensor uncertainty. The paper also compares UQ practices, including GUM-aligned analytical propagation, Monte Carlo methods, DIC-specific error budgets, bootstrap and resampling strategies, and probabilistic deep learning. The main contribution of this review is to connect computer-vision-based displacement pipelines with metrological requirements by explicitly linking measurement models, uncertainty sources, UQ methods, and field-validation evidence within a unified framework. A practical uncertainty-budget template is compiled to support traceable reporting across different pipelines and deployment scenarios. The paper concludes with prioritized research gaps and future directions, including standardized benchmarks and datasets, traceable UQ for moving-camera systems, multi-sensor fusion with end-to-end uncertainty propagation, long-term drift characterization, optical-turbulence and adverse-weather modeling, validated subpixel limits at extreme range, probabilistic deep learning–metrology integration, and standardized reporting practices.",https://www.mdpi.com/2075-5309/16/13/2659
A New Deep Transfer Learning Method for Bearing Fault Diagnosis Under Different Working Conditions,"Jun Zhu, Nan Chen, Changqing Shen",IEEE Sensors Journal,2020-08-01,261,블록 D 고인용: CNN을 전이학습 시나리오로 일반화. 태스크 특징 레이어 적응+다중 가우시안 커널로 도메인 손실 계산.분포 격차 감소로 전이 특징 학습.,deep transfer learning/CNN/domain adaptation/variable conditions,"Fault diagnosis is very important for condition based maintenance. Recently, deep learning models are introduced to learn hierarchical representations from raw data instead of using hand-crafted features, which exhibit excellent performance. The success of current deep learning lies in: 1) the training (source domain) and testing (target domain) datasets are from the same feature distribution; 2) Enough labeled data with fault information exist. However, because the machine operates under a non-stationary working condition, the trained model built on the source domain can not be directly applied on the target domain. Moreover, since no sufficient labeled or even unlabeled data are available in target domain, collecting the labeled data and building the model from scratch is time-consuming and expensive. Motivated by transfer learning (TL), we present a new fault diagnosis method, which generalizes convolutional neural network (CNN) to TL scenario. Two layers with regard to task-specific features are adapted in a layer-wise way to regularize the parameters of CNN. What’s more, the domain loss is calculated by a linear combination of multiple Gaussian kernels so that the ability of adaptation is enhanced compared to single kernel. Through these two means, the distribution discrepancy is reduced and the transferable features are learned. The proposed method is validated by transfer fault diagnosis experiments. Compared to CNN without domain adaptation and shallow transfer learning methods, the proposed method gets the best performance for fault classification.",https://ieeexplore.ieee.org/document/8809786/
Deep Semi-supervised Domain Generalization Network for Rotary Machinery Fault Diagnosis under Variable Speed,"Yixiao Liao, Ruyi Huang, Jipu Li, Zhuyun Chen, Weihua Li",IEEE Transactions on Instrumentation and Measurement,2020-10-01,174,블록 D: 가변속도 회전기계 대상 반지도 도메인 일반화(DSDGN). WGAN-GP 적대학습+의사라벨 반지도학습.타겟 속도 데이터 미사용 학습→미지 속도로 일반화.,domain generalization/variable speed/semi-supervised/WGAN-GP,"In recent years, deep learning has become a promising tool for rotary machinery fault diagnosis, but it works well only when testing samples and training samples are independent and identically distributed. In practice, rotary machinery usually works under variable speed. The change of speed leads to the variation of samples’ distribution, which can significantly decrease the performance of the deep learning model. Scholars try to utilize transfer learning techniques for solving this problem. However, most exiting methods can just work well under target speed instead of all speed, while the target samples are always required in model training. In this article, a deep semisupervised domain generalization network (DSDGN) is proposed for rotary machinery fault diagnosis under variable speed, which can generalize the model to the fault diagnosis task under unseen speed. Under the setting of semisupervised domain generalization, only one fully labeled source (LS) domain data set and one totally unlabeled source (US) domain data set are available during training. To make full use of these data, the proposed method simultaneously utilizes Wasserstein generative adversarial network with gradient penalty (WGAN-GP)-based adversarial learning and pseudolabel-based semisupervised learning for training. The transmission and bearing fault diagnosis cases are utilized for evaluation. The comparative experiments indicate that the proposed method has a better performance than other state-of-the-art methods.",https://ieeexplore.ieee.org/document/9088148/
A deep convolutional neural network with new training methods for bearing fault diagnosis under noisy environment and different working load,"Wěi Zhāng, Chuanhao Li, Gaoliang Peng, Yuanhang Chen, Zhujun Zhang",Mechanical Systems and Signal Processing,2018-02-01,1033,블록 D+공통 최고인용: WDCNN(넓은 첫커널 DCNN) 원논문. 원시진동신호 입력→잡음 강건+부하 변화 조건에서도 고정확도. 도메인적응 알고리즘 없이도 가변부하 대응.질문자 연구의 WDCNN과 직접 관련.,WDCNN/wide first kernel/bearing fault/noisy environment/variable load,"Abstract In recent years, intelligent fault diagnosis algorithms using machine learning technique have achieved much success. However, due to the fact that in real world industrial applications, the working load is changing all the time and noise from the working environment is inevitable, degradation of the performance of intelligent fault diagnosis methods is very serious. In this paper, a new model based on deep learning is proposed to address the problem. Our contributions of include: First, we proposed an end-to-end method that takes raw temporal signals as inputs and thus doesn’t need any time consuming denoising preprocessing. The model can achieve pretty high accuracy under noisy environment. Second, the model does not rely on any domain adaptation algorithm or require information of the target domain. It can achieve high accuracy when working load is changed. To understand the proposed model, we will visualize the learned features, and try to analyze the reasons behind the high performance of the model.",https://linkinghub.elsevier.com/retrieve/pii/S0888327017303369
Deep Transfer Learning for Bearing Fault Diagnosis: A Systematic Review Since 2016,"Xiaohan Chen, Rui Yang, Yihao Xue, Mengjie Huang, Roberto Ferrero, Zidong Wang",IEEE Transactions on Instrumentation and Measurement,2023-01-01,475,"블록 D 서베이(고인용 475): 2016년 이후 딥 전이학습 기반 베어링 결함진단 체계적 리뷰. 라벨/기기/결함 관점 태스노미, 라이프사이클 전체 커버.",deep transfer learning review/bearing fault diagnosis/taxonomy,"The traditional deep learning-based bearing fault diagnosis approaches assume that the training and test data follow the same distribution. This assumption, however, is not always true for the bearing data collected in practical scenarios, leading to a significant decline in fault diagnosis performance. In order to satisfy this assumption, the transfer learning concept is introduced in deep learning by transferring the knowledge learned from other data or models. Due to the excellent capability of feature learning and domain transfer, deep transfer learning methods have gained widespread attention in bearing fault diagnosis in recent years. This review presents a comprehensive review of the development of deep transfer learning-based bearing fault diagnosis approaches since 2016. In this review, a novel taxonomy of deep transfer learning-based bearing fault diagnosis methods is proposed from the perspective of target domain data properties divided by labels, machines, and faults. By covering the whole life cycle of deep transfer learning-based fault diagnosis and discussing the research challenges and opportunities, this review provides a systematic guideline for researchers and practitioners to efficiently identify suitable deep transfer learning models based on the actual problems encountered in bearing fault diagnosis.",https://ieeexplore.ieee.org/document/10042467/
Bearing fault diagnosis under variable speed conditions based on time series mixup and unsupervised domain adaptation,"Lingxuan Li, Zhenwei Ma, Zejun Yu, Xuesong Bai, Baoqiang Li",Measurement Science and Technology,2025-03-25,7,"블록 D: 가변속도 베어링 진단 위해 MR-CoTMix(멀티헤드 잔차네트+시계열Mixup+비지도 도메인적응) 제안. 복잡 수동특징추출 불필요, 평균 92% 이상 정확도.",variable speed/time series mixup/unsupervised domain adaptation,"Abstract The operation of rolling bearings under practical conditions often involves variable speed, which results in non-stationary vibrations. Extracting time-varying fault frequencies effectively from these non-stationary vibration signals due to speed fluctuations poses a significant challenge when assessing model performance and stability. In order to solve this problem, this paper proposes and constructs a multi-head attentive residual network MH-ResNet18 as a feature extraction, encoder and classifier fault diagnosis method MR-CoTMix by improving the backbone network consisting of encoders and classifiers on the basis of residual network. The proposed method is applied to the fault diagnosis under variable-speed conditioned task with an unsupervised domain adaptive contrast learning method to make the training process simpler and the diagnosis more effective. This method utilizes time series Mixup data augmentation and a multi-head self-attention residual network to eliminate the need for complex manual feature extraction. By introducing unsupervised domain adaptation transfer learning, it achieves unsupervised cross-domain fault diagnosis of unlabeled target domain data under variable speed conditions using labeled source domain data. The results of two sets of experiments demonstrate that the average accuracy and MF1 score remain above 92% and 96%, respectively. The MR-CoTMix method is more effective than current mainstream unsupervised domain-adaptive transfer learning methods. The proposed model exhibits excellent performance and stability in diagnosing bearing faults under non-stationary speed conditions.",https://iopscience.iop.org/article/10.1088/1361-6501/adc4fd
A bearing fault diagnosis method for hydrodynamic transmissions integrating few-shot learning and transfer learning,"Dong Sun, Xudong Yang, Hai Yang",Scientific Reports,2025-05-30,4,블록 D: Siamese-WDCNN 기반 퓨샷 학습+전이학습으로 수력전동기 베어링 진단. CWRU에서 사전학습→실제 산업 데이터로 미세조정.WDCNN 기반으로 질문자 연구와 직접 관련.,few-shot learning/Siamese-WDCNN/transfer learning/industrial bearing,"To address the insufficient generalization capability of bearing fault diagnosis models caused by scarce vibration data from high-power hydrodynamic transmission testbeds, this study proposes a diagnostic method integrating deep few-shot learning with transfer learning. First, a Siamese Wide Convolutional Neural Network (Siamese-WDCNN) is constructed based on public bearing datasets to extract essential features of vibration signals through few-shot contrastive learning. Second, we introduce a transfer learning strategy to address cross-condition generalization challenges. This approach adapts pre-trained model parameters from the CWRU dataset to real industrial hydrodynamic transmission data. We then fine-tune the model using limited target-domain samples to optimize performance. Experiments evaluating the generalization capability under variable operating conditions compare diagnostic performance across SVM, WDCNN, WDCNN + TL, FSL + TL, and FSL + TL + AM methods. Results demonstrate that FSL + TL achieves an accuracy of 85.30% under mixed operating conditions. Further optimization by incorporating an attention mechanism (FSL + TL + AM) elevates accuracy to 88.75%, effectively enhancing the generalization capability of the bearing fault diagnosis model. This validates the engineering practicality of the proposed method and explores a viable pathway for industrial equipment health monitoring.",https://www.nature.com/articles/s41598-025-04543-x
Impact of Data Leakage in Vibration Signals Used for Bearing Fault Diagnosis,"L.L. Wheat, Martin Mohrenschildt, Saeid Habibi, Dhafar Al-Ani",IEEE Access,2024-01-01,5,블록 E 핵심: 베어링 진단 진동데이터의 데이터 누수 영향 분석. 3가지 데이터 분할 방식 비교→40% 이상 정확도 차이 발견.McMaster/Paderborn 데이터셋에서 도메인 시프트 확인.55편 선행연구 중 10편 누수 가능성 지적.,data leakage/bearing fault diagnosis/data splitting/domain shift,"Bearing fault diagnosis is a well-developed field and an active area of research in which the combination of model-free machine learning techniques with vibration data has become a popular approach. However, vibration data from rotating machines has the potential to contain domain shifts beyond the accepted causes in this research area (different part models, operating conditions and sensor locations) which can enable data leakage between training and test datasets. To demonstrate the impact of data leakage, six common bearing diagnosis methods are applied to two datasets using three data splitting methods to compare classification performance. Diagnosis is preformed using Principal Component Analysis (PCA), Supervised Principal Component Analysis (SPCA) and Linear Discriminant Analysis (LDA) in combination with frequency analysis and envelope analysis feature extraction methods. Datasets from McMaster University and Paderborn University are used as experimental data sources, and produce vastly differing results (over a 40% drop in accuracy) depending on the selected dataset splitting method, revealing a previously unknown domain shift. Despite great results for diagnosis methods using frequency response analysis on the data from McMaster, these results are not expected to generalize due to possible data leakage. Out of fifty-five previous works using the Paderborn dataset, ten are identified as likely to be affected and only six properly address the problem. Recommendations are given for future experiment design, model creation and model evaluation.",https://ieeexplore.ieee.org/document/10752530/
Towards a more realistic evaluation of machine learning models for bearing fault diagnosis,"João Paulo Abreu Vieira, Victor Afonso Bauler, Rodrigo Kobashikawa Rosa, Danilo Silva",arXiv (Cornell University),2025-09-26,0,블록 E: 누수 없는 bearing-wise 분할 제안. 세그먼트/조건 분할의 과도낙관적 성능 지적→Macro AUROC 등 prevalence-independent 메트릭 제안.CWRU/Paderborn/UOttawa 3개 데이터셋 검증.,leakage-free evaluation/bearing-wise split/multi-label/overoptimistic accuracy,"Reliable detection of bearing faults is essential for maintaining the safety and operational efficiency of rotating machinery. While recent advances in machine learning (ML), particularly deep learning, have shown strong performance in controlled settings, many studies fail to generalize to real-world applications due to methodological flaws, most notably data leakage. This paper investigates the issue of data leakage in vibration-based bearing fault diagnosis and its impact on model evaluation. We demonstrate that common dataset partitioning strategies, such as segment-wise and condition-wise splits, introduce spurious correlations that inflate performance metrics. To address this, we propose a rigorous, leakage-free evaluation methodology centered on bearing-wise data partitioning, ensuring no overlap between the physical components used for training and testing. Additionally, we reformulate the classification task as a multi-label problem, enabling the detection of co-occurring fault types and the use of prevalence-independent metrics such as Macro AUROC. Beyond preventing leakage, we also examine the effect of dataset diversity on generalization, showing that the number of unique training bearings is a decisive factor for achieving robust performance. We evaluate our methodology on three widely adopted datasets: CWRU, Paderborn University (PU), and University of Ottawa (UORED-VAFCLS). This study highlights the importance of leakage-aware evaluation protocols and provides practical guidelines for dataset partitioning, model selection, and validation, fostering the development of more trustworthy ML systems for industrial fault diagnosis applications.",https://arxiv.org/abs/2509.22267
Test-Training Leakage in Evaluation of Machine Learning Algorithms for Condition-Based Maintenance,"Omri Matania, Roee Cohen, Eric Bechhoefer, Jacob Bortman",PHM Society European Conference,2024-06-27,3,블록 E: 진동신호 ML 평가 시 훈련-테스트 분리 오류(누수) 리뷰. 올바른 분할 방법 가이드라인 제시.,test-training leakage/vibration signal/evaluation methodology,"Many articles have been published utilizing machine learning algorithms for condition-based maintenance through the analysis of vibration signals. One extensively researched topic is the classification of fault types in rolling bearings. There is a fairly widespread problem in the evaluation of these learning algorithms, where the separation of examples between the test and training sets is incorrect, leading to an optimistic conclusion about the algorithm's performance even when it is not the case. In this article, we will review this issue and explain how the data should be properly divided between the test and training sets to avoid this occurrence.",https://papers.phmsociety.org/index.php/phme/article/view/4125
A Closer Look at Bearing Fault Classification Approaches,"Harika Abburi, Tanya Chaudhary, Sardar Haider Waseem Ilyas, Lakshmi Manne, Deepak Mittal, Edward Bowen, Don Williams, Derek Snaidauf, Balaji Veeramani",Annual Conference of the PHM Society,2023-09-29,10,블록 E: 베어링 결함 분류 모델 개발 시 데이터 분할·평가메트릭·라벨생성 방법의 영향 체계적 분석. 동일 베어링 데이터가 훈련/평가에 걸치면 과도낙관적 성능 확인.,bearing classification/data partition/evaluation metrics/overoptimistic,"Rolling bearing fault diagnosis has garnered increased attention in recent years owing to its presence in rotating machinery across various industries, and an ever increasing demand for efficient operations. Prompt detection and accurate prediction of bearing failures can help reduce the likelihood of unexpected machine downtime and enhance maintenance schedules, averting lost productivity. Recent technological advances have enabled monitoring the health of these assets at scale using a variety of sensors, and predicting the failures using modern Machine Learning (ML) approaches including deep learning architectures. Vibration data has been collected using accelerated run-to-failure of overloaded bearings, or by introducing known failure in bearings, under a variety of operating conditions such as rotating speed, load on the bearing, type of bearing fault, and data acquisition frequency. However, in the development of bearing failure classification models using vibration data there is a lack of consensus in the metrics used to evaluate the models, data partitions used to evaluate models, and methods used to generate failure labels in run-to-failure experiments. An understanding of the impact of these choices is important to reliably develop models, and deploy them in practical settings. In this work, we demonstrate the significance of these choices on the performance of the models using publicly-available vibration datasets, and suggest model development considerations for real world scenarios. Our experimental findings demonstrate that assigning vibration data from a given bearing across training and evaluation splits leads to over-optimistic performance estimates, PCA-based approach is able to robustly generate labels for failure classification in run-to-failure experiments, and $F$ scores are more insightful to evaluate the models with unbalanced real-world failure data.",https://arxiv.org/abs/2309.17001
Benchmarking deep learning models for bearing fault diagnosis using the CWRU dataset: A multi-label approach,"Rodrigo Kobashikawa Rosa, Danilo Braga, Danilo Silva",arXiv (Cornell University),2024-07-19,5,블록 E: CWRU 데이터셋 전통적 분할의 데이터 누수 지적+멀티라벨 공식화 제안. 로커 분할로 누수 완전 제거+F1/AUROC 등 prevalence-independent 메트릭 사용.1D/2D 딥러닝 벤치마크.,CWRU leakage/multi-label formulation/benchmark/ROC curve,"This paper proposes a novel approach for modeling the problem of fault diagnosis using the Case Western Reserve University (CWRU) bearing fault dataset. Although the dataset is considered a standard reference for testing new algorithms, the typical dataset division suffers from data leakage, as shown by Hendriks et al. (2022) and Abburi et al. (2023), leading to papers reporting over-optimistic results. While their proposed division significantly mitigates this issue, it does not eliminate it entirely. Moreover, their proposed multi-class classification task can still lead to an unrealistic scenario by excluding the possibility of more than one fault type occurring at the same or different locations. As advocated in this paper, a multi-label formulation (detecting the presence of each type of fault for each location) can solve both issues, leading to a scenario closer to reality. Additionally, this approach mitigates the heavy class imbalance of the CWRU dataset, where faulty cases appear much more frequently than healthy cases, even though the opposite is more likely to occur in practice. A multi-label formulation also enables a more precise evaluation using prevalence-independent evaluation metrics for binary classification, such as the ROC curve. Finally, this paper proposes a more realistic dataset division that allows for more diversity in the training dataset while keeping the division free from data leakage. The results show that this new division can significantly improve performance while enabling a fine-grained error analysis. As an application of our approach, a comparative benchmark is performed using several state-of-the-art deep learning models applied to 1D and 2D signal representations in time and/or frequency domains.",https://arxiv.org/abs/2407.14625
Are Novel Deep Learning Methods Effective for Fault Diagnosis?,"Dongnian Jiang, Chenxian He, Zeyang Chen, Jinjiang Zhao",IEEE Transactions on Reliability,2025-09-01,5,블록 E: 최신 딥러닝 베어링 진단 모델의 실제 성능 의문. 통일 데이터처리 프레임워크로 8개 SOTA 모델 재현→3개 공개 데이터셋 평가.실제 응용 여전히 심각한 과제.,SOTA models/reproducibility/bearing fault diagnosis/real-world challenges,"In recent years, deep learning has become the standard approach for fault diagnosis in mechanical equipment, with models becoming increasingly complex and large in scale. Through a thorough review and analysis of existing literature, we found that while many studies report performance improvements with the latest models, there has been no comparison of state-of-the-art (SOTA) methods. This gap is primarily due to two factors: first, the wide variation in the quality and nature of fault diagnosis data leads to significant performance fluctuations across different datasets; second, the diverse preprocessing methods employed make it challenging to compare models objectively. For instance, while deep learning has demonstrated high accuracy in bearing fault diagnosis, variations in vibration signal processing methods often skew the evaluation of model performance. To address these issues and evaluate the true performance of the latest deep learning models for fault diagnosis, this article establishes a unified data processing framework that ensures fair performance comparisons across models. Using this framework, we reproduce eight SOTA deep learning models and assess their effectiveness on three publicly available bearing datasets. Additionally, we design three benchmark models to quantify performance differences. The experimental results highlight that current deep learning-based fault diagnosis methods still face significant challenges in real-world applications. Finally, the future research directions in this domain are given.",https://ieeexplore.ieee.org/document/10795217/